entry_time,exit_time,status,pnl,score,type
2021-09-02 13:00:00,2021-09-02 14:00:00,win,402.48151179800635,5,short
2021-09-02 14:05:00,2021-09-02 14:35:00,loss,-164.21245681358658,5,short
2021-09-02 15:50:00,2021-09-02 18:00:00,loss,-162.8987571590779,5,short
2021-09-07 08:00:00,2021-09-07 09:25:00,win,605.9833766317697,6,short
2021-09-07 09:25:00,2021-09-07 13:30:00,loss,-166.44343411485946,5,short
2021-09-07 13:55:00,2021-09-07 14:00:00,win,412.77971660485144,5,short
2021-09-07 16:00:00,2021-09-12 22:00:00,win,421.03531093694846,5,short
2021-09-15 08:30:00,2021-09-15 09:15:00,loss,-171.782406862275,5,short
2021-09-15 09:15:00,2021-09-15 12:20:00,win,426.02036901844195,5,long
2021-09-15 12:35:00,2021-09-15 12:50:00,win,434.54077639881075,5,short
2021-09-15 13:10:00,2021-09-15 13:30:00,loss,-332.4236939450903,7,short
2021-09-15 13:30:00,2021-09-15 18:25:00,win,818.5933463397848,7,short
2021-09-15 18:25:00,2021-09-15 18:30:00,loss,-339.71623873101066,7,short
2021-09-15 18:30:00,2021-09-15 19:40:00,loss,-334.62049515004554,7,short
2021-09-21 09:00:00,2021-09-21 12:05:00,win,439.4682502970599,5,long
2021-09-21 12:05:00,2021-09-21 12:15:00,loss,-179.30304612120042,5,long
2021-09-21 12:35:00,2021-09-21 14:40:00,win,444.6715543805771,5,long
2021-09-21 14:55:00,2021-09-21 18:20:00,loss,-272.13899128091316,6,long
2021-09-22 10:40:00,2021-09-22 11:00:00,loss,-179.24888225702813,5,short
2021-09-22 11:00:00,2021-09-22 12:05:00,win,833.507302495181,7,short
2021-09-22 12:05:00,2021-09-22 12:40:00,loss,-276.7244244284,6,short
2021-09-22 12:40:00,2021-09-22 13:30:00,loss,-182.26915422350615,5,short
2021-09-22 14:35:00,2021-09-22 14:55:00,loss,-180.8110009897181,5,long
2021-09-22 15:50:00,2021-09-22 17:35:00,loss,-179.36451298180037,5,long
2021-09-23 09:05:00,2021-09-23 10:10:00,win,444.82399219486496,5,long
2021-09-23 10:15:00,2021-09-23 12:25:00,loss,-272.23228322325735,6,long
2021-09-23 12:25:00,2021-09-23 12:50:00,win,448.27582637429714,5,short
2021-09-23 14:05:00,2021-09-23 20:20:00,win,857.3275179408432,7,short
2021-09-28 08:00:00,2021-09-28 10:45:00,win,474.3878932606,5,short
2021-09-28 11:15:00,2021-09-28 11:40:00,loss,-290.32539067548714,6,short
2021-09-28 11:50:00,2021-09-28 12:15:00,loss,-191.22765732492087,5,short
2021-09-28 12:25:00,2021-09-28 13:05:00,loss,-284.54675409948226,6,short
2021-09-28 13:40:00,2021-09-28 14:20:00,loss,-187.42146203352564,5,short
